State Name,Fraud,Quarter,Report Type,Year,Fixed Overall Qtr Losses,Fixed State Qtr Losses,Overall Total Losses by Type Qtr,Total Losses
South Carolina,Fraud,2,Fraud,2020,819552937.990118,9248139.47000004,819552937.990118,9248139.47000004
Wyoming,Fraud,4,Fraud,2021,1831379366.41022,4115523.78,1831379366.41022,4115523.78
Kansas,Fraud,3,Fraud,2019,665445943.337642,2232550.85,665445943.337642,2232550.85
New Mexico,Other,1,Other,2019,196919122.739999,1417839.51,196919122.739999,1417839.51
Kentucky,Fraud,1,Fraud,2018,348224707.170025,2417271.12000001,348224707.170025,2417271.12000001
North Carolina,Fraud,4,Fraud,2019,665563062.760347,12357208.7200001,665563062.760347,12357208.7200001
New York,Other,1,Other,2018,122608613.55,5902537.38,122608613.55,5902537.38
Vermont,Other,4,Other,2019,295265401.890004,117987.98,295265401.890004,117987.98
Rhode Island,Fraud,4,Fraud,2019,665563062.760347,662462.239999999,665563062.760347,662462.239999999
Alabama,Fraud,3,Fraud,2020,890919586.840231,6396029.27000004,890919586.840231,6396029.27000004
Tennessee,Fraud,4,Fraud,2021,1831379366.41022,18769263.88,1831379366.41022,18769263.88
Mississippi,Other,4,Other,2020,330804770.270009,1259611.94,330804770.270009,1259611.94
Puerto Rico,Other,4,Other,2018,198059364.600001,199845.96,198059364.600001,199845.96
Massachusetts,Other,4,Other,2021,198243503.149999,1484586.22,198243503.149999,1484586.22
Louisiana,Fraud,4,Fraud,2021,1831379366.41022,8892801.85000002,1831379366.41022,8892801.85000002
Ohio,Fraud,3,Fraud,2019,665445943.337642,13507668.85,665445943.337642,13507668.85
New Mexico,Fraud,3,Fraud,2020,890919586.840231,5905354.58000001,890919586.840231,5905354.58000001
New York,IDT,3,Identity Theft,2021,0,0,0,0
Virginia,Other,2,Other,2021,193273318.52,4446866.47,193273318.52,4446866.47
South Carolina,Other,1,Other,2022,211915621.62,1946365.59,211915621.62,1946365.59
Wyoming,Fraud,3,Fraud,2020,890919586.840231,1170800.34,890919586.840231,1170800.34
Montana,Other,4,Other,2020,330804770.270009,537533.05,330804770.270009,537533.05
Georgia,Fraud,4,Fraud,2019,665563062.760347,14910961.8800001,665563062.760347,14910961.8800001
Tennessee,Other,3,Other,2021,196990073.340001,3561626,196990073.340001,3561626
Pennsylvania,Fraud,4,Fraud,2018,397093881.427538,7789918.34000007,397093881.427538,7789918.34000007
Tennessee,Fraud,4,Fraud,2020,1003279528.43026,11704533.2800001,1003279528.43026,11704533.2800001
Wisconsin,Fraud,4,Fraud,2019,665563062.760347,6951255.46000003,665563062.760347,6951255.46000003
Oklahoma,Fraud,4,Fraud,2021,1831379366.41022,6287524.77000001,1831379366.41022,6287524.77000001
Nevada,Other,2,Other,2018,193419326.630001,1689990.28,193419326.630001,1689990.28
Kansas,Other,3,Other,2018,229059946.16,806237.31,229059946.16,806237.31
Georgia,Fraud,1,Fraud,2021,1299670971.24025,25445451.0399999,1299670971.24025,25445451.0399999
Oregon,Fraud,4,Fraud,2019,665563062.760347,7097552.16000002,665563062.760347,7097552.16000002
New Mexico,Other,4,Other,2021,198243503.149999,1463772,198243503.149999,1463772
Louisiana,IDT,1,Identity Theft,2022,0,0,0,0
Kansas,Other,4,Other,2020,330804770.270009,2123658.08,330804770.270009,2123658.08
Nebraska,Other,4,Other,2020,330804770.270009,567626.94,330804770.270009,567626.94
Delaware,Fraud,2,Fraud,2020,819552937.990118,2303623.09,819552937.990118,2303623.09
Colorado,Other,1,Other,2021,279256627.530002,4874491.7,279256627.530002,4874491.7
Louisiana,Fraud,2,Fraud,2018,436359324.65002,20130510.1799999,436359324.65002,20130510.1799999
West Virginia,Other,2,Other,2019,195488970.690001,362004.65,195488970.690001,362004.65
Virginia,Other,4,Other,2021,198243503.149999,2361471.36,198243503.149999,2361471.36
Minnesota,Other,3,Other,2020,332376597.910007,2503729.14,332376597.910007,2503729.14
Maine,Fraud,1,Fraud,2021,1299670971.24025,2283893.23,1299670971.24025,2283893.23
Texas,Other,3,Other,2018,229059946.16,23684735.64,229059946.16,23684735.64
Alaska,Fraud,2,Fraud,2018,436359324.65002,960336.99,436359324.65002,960336.99
Virginia,Other,4,Other,2019,295265401.890004,5563095.38000001,295265401.890004,5563095.38000001
Minnesota,Fraud,3,Fraud,2019,665445943.337642,9540579.34000004,665445943.337642,9540579.34000004
Alaska,Other,4,Other,2019,295265401.890004,342140.71,295265401.890004,342140.71
Connecticut,Fraud,1,Fraud,2020,731467189.080063,6822463.80000001,731467189.080063,6822463.80000001
Colorado,Fraud,4,Fraud,2020,1003279528.43026,13227181.3200001,1003279528.43026,13227181.3200001
Missouri,Fraud,1,Fraud,2019,508677995.648923,7306095.34000002,508677995.648923,7306095.34000002
Massachusetts,Fraud,2,Fraud,2019,602374374.655126,6266970.09000003,602374374.655126,6266970.09000003
Kentucky,Other,2,Other,2020,280093545.500005,763303.91,280093545.500005,763303.91
New Jersey,Other,4,Other,2019,295265401.890004,4740495.63,295265401.890004,4740495.63
Alaska,Fraud,4,Fraud,2018,397093881.427538,910366.37,397093881.427538,910366.37
Alabama,Fraud,2,Fraud,2020,819552937.990118,7863734.06000004,819552937.990118,7863734.06000004
Wyoming,Fraud,3,Fraud,2019,665445943.337642,619305.92,665445943.337642,619305.92
Utah,Fraud,1,Fraud,2018,348224707.170025,2897014.44000001,348224707.170025,2897014.44000001
Pennsylvania,Fraud,3,Fraud,2020,890919586.840231,22139532.1399999,890919586.840231,22139532.1399999
Oregon,Fraud,1,Fraud,2022,1691830157.70014,19966620.82,1691830157.70014,19966620.82
Arkansas,Other,4,Other,2021,198243503.149999,372693.75,198243503.149999,372693.75
Maryland,Fraud,3,Fraud,2018,434213799.69002,4865006.20000002,434213799.69002,4865006.20000002
Pennsylvania,Fraud,1,Fraud,2018,348224707.170025,5918602.28000004,348224707.170025,5918602.28000004
West Virginia,Fraud,1,Fraud,2019,508677995.648923,2661009.39,508677995.648923,2661009.39
Georgia,Other,4,Other,2019,295265401.890004,8400422.96000001,295265401.890004,8400422.96000001
District of Columbia,Other,1,Other,2018,122608613.55,334151.11,122608613.55,334151.11
Oregon,Other,4,Other,2019,295265401.890004,1392603.16,295265401.890004,1392603.16
Minnesota,Fraud,3,Fraud,2020,890919586.840231,8404048.27000007,890919586.840231,8404048.27000007
South Carolina,Fraud,2,Fraud,2018,436359324.65002,4416928.57000001,436359324.65002,4416928.57000001
Arizona,Fraud,1,Fraud,2020,731467189.080063,14654754.93,731467189.080063,14654754.93
Arizona,Other,4,Other,2020,330804770.270009,7468062.05000001,330804770.270009,7468062.05000001
Maryland,Other,1,Other,2021,279256627.530002,5590784.91000001,279256627.530002,5590784.91000001
Montana,Fraud,2,Fraud,2021,1363092689.48017,1791622.21,1363092689.48017,1791622.21
New Jersey,Other,4,Other,2018,198059364.600001,4558699.33000001,198059364.600001,4558699.33000001
South Carolina,Fraud,2,Fraud,2018,436359324.65002,4416928.57000001,436359324.65002,4416928.57000001
Illinois,Other,2,Other,2019,195488970.690001,6515128.29000001,195488970.690001,6515128.29000001
South Dakota,Other,4,Other,2021,198243503.149999,131511.2,198243503.149999,131511.2
Rhode Island,Fraud,3,Fraud,2020,890919586.840231,803849.359999999,890919586.840231,803849.359999999
Mississippi,Fraud,1,Fraud,2018,348224707.170025,1194796.66,348224707.170025,1194796.66
Mississippi,Fraud,1,Fraud,2018,348224707.170025,1194796.66,348224707.170025,1194796.66
Pennsylvania,Fraud,4,Fraud,2018,397093881.427538,7789918.34000007,397093881.427538,7789918.34000007
Illinois,Fraud,3,Fraud,2020,890919586.840231,25430329.9199999,890919586.840231,25430329.9199999
Colorado,Other,3,Other,2019,282964798.270002,3298103.12,282964798.270002,3298103.12
Pennsylvania,Fraud,4,Fraud,2018,397093881.427538,7789918.34000007,397093881.427538,7789918.34000007
West Virginia,Other,3,Other,2021,196990073.340001,483174.67,196990073.340001,483174.67
Arizona,Other,1,Other,2020,273618221.910002,5978468.23000001,273618221.910002,5978468.23000001
Illinois,Fraud,4,Fraud,2021,1831379366.41022,44650198.6,1831379366.41022,44650198.6
Georgia,Other,4,Other,2018,198059364.600001,5994962.28000001,198059364.600001,5994962.28000001
Maine,Fraud,1,Fraud,2020,731467189.080063,1473740.59,731467189.080063,1473740.59
Oregon,Other,3,Other,2020,332376597.910007,3175758.10000001,332376597.910007,3175758.10000001
Colorado,Other,4,Other,2018,198059364.600001,5013528.77,198059364.600001,5013528.77
Oklahoma,Fraud,2,Fraud,2018,436359324.65002,2875109.34000001,436359324.65002,2875109.34000001
Mississippi,Other,3,Other,2020,332376597.910007,1654461.66,332376597.910007,1654461.66
New Mexico,Fraud,1,Fraud,2018,348224707.170025,2017860.77,348224707.170025,2017860.77
Kentucky,Fraud,4,Fraud,2020,1003279528.43026,3600902.56000001,1003279528.43026,3600902.56000001
Arkansas,Fraud,1,Fraud,2021,1299670971.24025,3366180.39,1299670971.24025,3366180.39
Arkansas,IDT,1,Identity Theft,2022,0,0,0,0
Missouri,Other,2,Other,2019,195488970.690001,2213144.11,195488970.690001,2213144.11
Alabama,Fraud,2,Fraud,2018,436359324.65002,2730245.79000001,436359324.65002,2730245.79000001
Louisiana,Fraud,1,Fraud,2021,1299670971.24025,8423593.30000002,1299670971.24025,8423593.30000002
Iowa,Fraud,4,Fraud,2020,1003279528.43026,5519809.74000003,1003279528.43026,5519809.74000003
Idaho,IDT,1,Identity Theft,2022,0,0,0,0
Kansas,Other,2,Other,2020,280093545.500005,624532.36,280093545.500005,624532.36
Nevada,Other,4,Other,2020,330804770.270009,3884862.01000001,330804770.270009,3884862.01000001
Massachusetts,Other,4,Other,2019,295265401.890004,4384412.84,295265401.890004,4384412.84
Virginia,Fraud,1,Fraud,2020,731467189.080063,16191465.56,731467189.080063,16191465.56
North Carolina,Fraud,2,Fraud,2019,602374374.655126,13007275.57,602374374.655126,13007275.57
Maryland,Fraud,4,Fraud,2018,397093881.427538,5408363.59000004,397093881.427538,5408363.59000004
Alabama,Fraud,2,Fraud,2021,1363092689.48017,12580745.68,1363092689.48017,12580745.68
Massachusetts,Fraud,4,Fraud,2019,665563062.760347,6593471.26000002,665563062.760347,6593471.26000002
Montana,Other,4,Other,2021,198243503.149999,195913.37,198243503.149999,195913.37
Utah,Other,4,Other,2018,198059364.600001,1409267.36,198059364.600001,1409267.36
Mississippi,Fraud,3,Fraud,2020,890919586.840231,2953705.21000001,890919586.840231,2953705.21000001
Colorado,Fraud,3,Fraud,2021,1605525076.80025,17791059.27,1605525076.80025,17791059.27
Colorado,Fraud,3,Fraud,2019,665445943.337642,13178219.83,665445943.337642,13178219.83
Colorado,Fraud,4,Fraud,2019,665563062.760347,10315234.3,665563062.760347,10315234.3
Georgia,Other,2,Other,2019,195488970.690001,4172044.43,195488970.690001,4172044.43
Florida,Fraud,4,Fraud,2018,397093881.427538,20069934.7199997,397093881.427538,20069934.7199997
California,Fraud,2,Fraud,2020,819552937.990118,103176071.85,819552937.990118,103176071.85
Kansas,Other,1,Other,2021,279256627.530002,1948414.86,279256627.530002,1948414.86
Tennessee,Other,4,Other,2019,295265401.890004,3462862.67,295265401.890004,3462862.67
Nebraska,Other,2,Other,2021,193273318.52,86332.26,193273318.52,86332.26
Minnesota,Fraud,1,Fraud,2020,731467189.080063,10854162.88,731467189.080063,10854162.88
Massachusetts,Fraud,3,Fraud,2021,1605525076.80025,21025509.96,1605525076.80025,21025509.96
Indiana,Fraud,1,Fraud,2018,348224707.170025,3635582.48000001,348224707.170025,3635582.48000001
California,Other,4,Other,2019,295265401.890004,36640080.3799999,295265401.890004,36640080.3799999
California,Fraud,1,Fraud,2021,1299670971.24025,164685730.279999,1299670971.24025,164685730.279999
South Dakota,Fraud,1,Fraud,2020,731467189.080063,792867.86,731467189.080063,792867.86
Virginia,Fraud,1,Fraud,2019,508677995.648923,12194198.62,508677995.648923,12194198.62
District of Columbia,Fraud,2,Fraud,2019,602374374.655126,2359107.18,602374374.655126,2359107.18
Connecticut,Other,4,Other,2020,330804770.270009,2471751.96,330804770.270009,2471751.96
Florida,Fraud,1,Fraud,2022,1691830157.70014,102069826.67,1691830157.70014,102069826.67
Maine,Other,4,Other,2018,198059364.600001,820424.44,198059364.600001,820424.44
District of Columbia,Fraud,1,Fraud,2020,731467189.080063,1199743.53,731467189.080063,1199743.53
North Dakota,Fraud,3,Fraud,2018,434213799.69002,649923.73,434213799.69002,649923.73
Missouri,IDT,2,Identity Theft,2018,0,0,0,0
Tennessee,Fraud,1,Fraud,2022,1691830157.70014,15579009.39,1691830157.70014,15579009.39
Washington,Fraud,4,Fraud,2020,1003279528.43026,18831609.59,1003279528.43026,18831609.59
Rhode Island,Fraud,1,Fraud,2020,731467189.080063,1128931.99,731467189.080063,1128931.99
Illinois,Fraud,3,Fraud,2018,434213799.69002,7460502.38000003,434213799.69002,7460502.38000003
Alabama,Fraud,2,Fraud,2019,602374374.655126,4692336.42,602374374.655126,4692336.42
Washington,Fraud,3,Fraud,2020,890919586.840231,21071275.35,890919586.840231,21071275.35
Colorado,Fraud,1,Fraud,2019,508677995.648923,11642799.04,508677995.648923,11642799.04
Nevada,Other,3,Other,2020,332376597.910007,3560047.7,332376597.910007,3560047.7
New Mexico,Other,3,Other,2019,282964798.270002,1421644.96,282964798.270002,1421644.96
Puerto Rico,Fraud,4,Fraud,2018,397093881.427538,197475.51,397093881.427538,197475.51
Arizona,Fraud,4,Fraud,2021,1831379366.41022,37660922.2399999,1831379366.41022,37660922.2399999
Colorado,Other,1,Other,2019,196919122.739999,3386416.22,196919122.739999,3386416.22
Pennsylvania,Other,1,Other,2021,279256627.530002,7387832.82000001,279256627.530002,7387832.82000001
Nevada,Other,2,Other,2021,193273318.52,2850316.17,193273318.52,2850316.17
Hawaii,Fraud,2,Fraud,2019,602374374.655126,2075967.89,602374374.655126,2075967.89
Nebraska,Other,1,Other,2019,196919122.739999,385519,196919122.739999,385519
Minnesota,Fraud,2,Fraud,2021,1363092689.48017,17592481.12,1363092689.48017,17592481.12
Minnesota,IDT,1,Identity Theft,2021,0,0,0,0
Delaware,Fraud,3,Fraud,2018,434213799.69002,675187.25,434213799.69002,675187.25
Pennsylvania,Fraud,1,Fraud,2019,508677995.648923,13150719.88,508677995.648923,13150719.88
California,Other,3,Other,2019,282964798.270002,28808125.1999999,282964798.270002,28808125.1999999
Utah,Other,3,Other,2018,229059946.16,2836671.51,229059946.16,2836671.51
Oklahoma,Fraud,4,Fraud,2020,1003279528.43026,6788480.52000002,1003279528.43026,6788480.52000002
Missouri,Fraud,4,Fraud,2021,1831379366.41022,15189464.31,1831379366.41022,15189464.31
Minnesota,Fraud,4,Fraud,2018,397093881.427538,5585109.95000002,397093881.427538,5585109.95000002
Kansas,Other,4,Other,2020,330804770.270009,2123658.08,330804770.270009,2123658.08
Alaska,Fraud,2,Fraud,2018,436359324.65002,960336.99,436359324.65002,960336.99
Idaho,Fraud,2,Fraud,2018,436359324.65002,1117435.62,436359324.65002,1117435.62
West Virginia,Fraud,1,Fraud,2018,348224707.170025,920655.53,348224707.170025,920655.53
New Jersey,Fraud,2,Fraud,2021,1363092689.48017,25475707.5699999,1363092689.48017,25475707.5699999
West Virginia,Fraud,1,Fraud,2019,508677995.648923,2661009.39,508677995.648923,2661009.39
New Mexico,IDT,2,Identity Theft,2019,0,0,0,0
Texas,Fraud,4,Fraud,2020,1003279528.43026,55973959.4299997,1003279528.43026,55973959.4299997
Texas,Other,3,Other,2020,332376597.910007,25381236.8199999,332376597.910007,25381236.8199999
Montana,Fraud,2,Fraud,2021,1363092689.48017,1791622.21,1363092689.48017,1791622.21
Connecticut,Other,4,Other,2021,198243503.149999,652299.42,198243503.149999,652299.42
Vermont,Other,1,Other,2019,196919122.739999,183225.12,196919122.739999,183225.12
Washington,Other,2,Other,2018,193419326.630001,5160867.97,193419326.630001,5160867.97
Connecticut,Fraud,3,Fraud,2019,665445943.337642,3660630.07000001,665445943.337642,3660630.07000001
Rhode Island,Fraud,3,Fraud,2020,890919586.840231,803849.359999999,890919586.840231,803849.359999999
District of Columbia,Other,3,Other,2018,229059946.16,979420.84,229059946.16,979420.84
Oregon,Fraud,3,Fraud,2021,1605525076.80025,19239042.93,1605525076.80025,19239042.93
Oregon,Fraud,3,Fraud,2021,1605525076.80025,19239042.93,1605525076.80025,19239042.93
Virginia,Fraud,1,Fraud,2019,508677995.648923,12194198.62,508677995.648923,12194198.62
Michigan,IDT,3,Identity Theft,2020,0,0,0,0
New Jersey,Other,2,Other,2020,280093545.500005,7450152.00000001,280093545.500005,7450152.00000001
Arkansas,Fraud,3,Fraud,2019,665445943.337642,3649949.94,665445943.337642,3649949.94
Connecticut,Fraud,1,Fraud,2020,731467189.080063,6822463.80000001,731467189.080063,6822463.80000001
Massachusetts,Fraud,3,Fraud,2020,890919586.840231,8872865.70000006,890919586.840231,8872865.70000006
Virginia,Other,1,Other,2019,196919122.739999,7299707.76000001,196919122.739999,7299707.76000001
New Jersey,Other,1,Other,2020,273618221.910002,5915859.19000001,273618221.910002,5915859.19000001
Arizona,Other,4,Other,2020,330804770.270009,7468062.05000001,330804770.270009,7468062.05000001
District of Columbia,Other,2,Other,2018,193419326.630001,229686.18,193419326.630001,229686.18
Connecticut,Other,1,Other,2021,279256627.530002,1806277.39,279256627.530002,1806277.39
Alaska,Fraud,2,Fraud,2021,1363092689.48017,2726967.16,1363092689.48017,2726967.16
Illinois,Other,3,Other,2018,229059946.16,5997040.3,229059946.16,5997040.3
Wisconsin,Fraud,4,Fraud,2020,1003279528.43026,9891480.33000005,1003279528.43026,9891480.33000005
New Jersey,Other,2,Other,2020,280093545.500005,7450152.00000001,280093545.500005,7450152.00000001
Minnesota,Fraud,2,Fraud,2020,819552937.990118,9389989.05000005,819552937.990118,9389989.05000005
Vermont,Fraud,1,Fraud,2018,348224707.170025,97935.96,348224707.170025,97935.96
Florida,Fraud,3,Fraud,2020,890919586.840231,48007481.9399994,890919586.840231,48007481.9399994
Delaware,Fraud,3,Fraud,2018,434213799.69002,675187.25,434213799.69002,675187.25
Washington,Fraud,3,Fraud,2018,434213799.69002,8328525.23000001,434213799.69002,8328525.23000001
New York,Other,2,Other,2019,195488970.690001,10246181.02,195488970.690001,10246181.02
Colorado,Fraud,4,Fraud,2018,397093881.427538,5714192.18000004,397093881.427538,5714192.18000004
Missouri,Fraud,1,Fraud,2020,731467189.080063,10448315.06,731467189.080063,10448315.06
Maryland,Other,3,Other,2021,196990073.340001,2383827.47,196990073.340001,2383827.47
Alaska,Other,4,Other,2019,295265401.890004,342140.71,295265401.890004,342140.71
Illinois,Fraud,3,Fraud,2021,1605525076.80025,27819140.3299999,1605525076.80025,27819140.3299999
Ohio,Other,2,Other,2018,193419326.630001,4851450.18,193419326.630001,4851450.18
Mississippi,Other,1,Other,2018,122608613.55,529454.53,122608613.55,529454.53
Utah,Fraud,3,Fraud,2021,1605525076.80025,8108862.70000002,1605525076.80025,8108862.70000002
Florida,Fraud,2,Fraud,2019,602374374.655126,34214005.7399999,602374374.655126,34214005.7399999
South Carolina,Fraud,2,Fraud,2021,1363092689.48017,11986430.5,1363092689.48017,11986430.5
South Carolina,Other,3,Other,2018,229059946.16,3144722.52,229059946.16,3144722.52
Ohio,Fraud,4,Fraud,2019,665563062.760347,9861361.95000007,665563062.760347,9861361.95000007
Utah,Fraud,1,Fraud,2021,1299670971.24025,9484947.95000002,1299670971.24025,9484947.95000002
Wyoming,Other,2,Other,2019,195488970.690001,85555.31,195488970.690001,85555.31
Kansas,Other,1,Other,2021,279256627.530002,1948414.86,279256627.530002,1948414.86
Connecticut,Other,3,Other,2021,196990073.340001,3626174.29,196990073.340001,3626174.29
Utah,Fraud,1,Fraud,2021,1299670971.24025,9484947.95000002,1299670971.24025,9484947.95000002
Colorado,Other,3,Other,2020,332376597.910007,7302028.50000001,332376597.910007,7302028.50000001
New Hampshire,Other,3,Other,2019,282964798.270002,545434.12,282964798.270002,545434.12
Delaware,Other,1,Other,2022,211915621.62,283771.09,211915621.62,283771.09
Missouri,Fraud,4,Fraud,2019,665563062.760347,10085502.21,665563062.760347,10085502.21
Washington,Other,3,Other,2020,332376597.910007,5143717.31000001,332376597.910007,5143717.31000001
Alaska,Fraud,1,Fraud,2022,1691830157.70014,5507574.1,1691830157.70014,5507574.1
Utah,Other,1,Other,2022,211915621.62,1412787.48,211915621.62,1412787.48
Utah,Other,2,Other,2020,280093545.500005,2739059.64,280093545.500005,2739059.64
Delaware,IDT,3,Identity Theft,2019,0,0,0,0
Georgia,Other,4,Other,2019,295265401.890004,8400422.96000001,295265401.890004,8400422.96000001
Kansas,Fraud,2,Fraud,2019,602374374.655126,4999730.31000001,602374374.655126,4999730.31000001
Utah,Fraud,2,Fraud,2021,1363092689.48017,10843249.88,1363092689.48017,10843249.88
Rhode Island,Other,1,Other,2022,211915621.62,494198.36,211915621.62,494198.36
New York,Fraud,4,Fraud,2021,1831379366.41022,95979314.8399996,1831379366.41022,95979314.8399996
Delaware,Fraud,2,Fraud,2018,436359324.65002,378340.03,436359324.65002,378340.03
Texas,IDT,1,Identity Theft,2020,0,0,0,0
Louisiana,Fraud,2,Fraud,2018,436359324.65002,20130510.1799999,436359324.65002,20130510.1799999
Vermont,Other,3,Other,2018,229059946.16,165485.31,229059946.16,165485.31
Michigan,Fraud,2,Fraud,2020,819552937.990118,15490172.0700001,819552937.990118,15490172.0700001
Maine,Fraud,1,Fraud,2021,1299670971.24025,2283893.23,1299670971.24025,2283893.23
Hawaii,Other,4,Other,2018,198059364.600001,700863.05,198059364.600001,700863.05
Georgia,Fraud,2,Fraud,2018,436359324.65002,8601908.33000004,436359324.65002,8601908.33000004
Kansas,Fraud,4,Fraud,2021,1831379366.41022,5809720.44000001,1831379366.41022,5809720.44000001
Virginia,IDT,4,Identity Theft,2020,0,0,0,0
Iowa,Other,3,Other,2021,196990073.340001,994539.39,196990073.340001,994539.39
Hawaii,Fraud,3,Fraud,2021,1605525076.80025,7489385.88000001,1605525076.80025,7489385.88000001
Florida,Fraud,4,Fraud,2020,1003279528.43026,62744998.1199995,1003279528.43026,62744998.1199995
Kansas,Fraud,1,Fraud,2019,508677995.648923,1663400.31,508677995.648923,1663400.31
Connecticut,Other,4,Other,2018,198059364.600001,1161405.66,198059364.600001,1161405.66
District of Columbia,Fraud,2,Fraud,2018,436359324.65002,1440507.7,436359324.65002,1440507.7
Missouri,Other,1,Other,2019,196919122.739999,2427642.63,196919122.739999,2427642.63
Maryland,Other,4,Other,2020,330804770.270009,3958763.27000001,330804770.270009,3958763.27000001
Oregon,Other,2,Other,2018,193419326.630001,1778290.65,193419326.630001,1778290.65
Alabama,Other,4,Other,2021,198243503.149999,1178133.46,198243503.149999,1178133.46
West Virginia,Fraud,1,Fraud,2021,1299670971.24025,2360709.9,1299670971.24025,2360709.9
Indiana,Fraud,1,Fraud,2021,1299670971.24025,11638270.89,1299670971.24025,11638270.89
Florida,Other,3,Other,2020,332376597.910007,23558252.5299999,332376597.910007,23558252.5299999
New York,Fraud,1,Fraud,2022,1691830157.70014,72878549.8300001,1691830157.70014,72878549.8300001
Illinois,Fraud,2,Fraud,2021,1363092689.48017,28844127.8299999,1363092689.48017,28844127.8299999
West Virginia,Fraud,2,Fraud,2018,436359324.65002,1530272.39,436359324.65002,1530272.39
New Mexico,Fraud,2,Fraud,2019,602374374.655126,5575955.22000001,602374374.655126,5575955.22000001
Puerto Rico,Fraud,2,Fraud,2021,1363092689.48017,1404017.07,1363092689.48017,1404017.07
Missouri,Fraud,2,Fraud,2019,602374374.655126,6454918.32000001,602374374.655126,6454918.32000001
Arkansas,Fraud,3,Fraud,2021,1605525076.80025,5001235.94000001,1605525076.80025,5001235.94000001
Puerto Rico,Fraud,2,Fraud,2018,436359324.65002,528277.67,436359324.65002,528277.67
Hawaii,Fraud,4,Fraud,2019,665563062.760347,1951444.45,665563062.760347,1951444.45
Georgia,Other,3,Other,2019,282964798.270002,7569758.96000001,282964798.270002,7569758.96000001
Kentucky,Fraud,1,Fraud,2020,731467189.080063,4332589.08000001,731467189.080063,4332589.08000001
Puerto Rico,Fraud,2,Fraud,2020,819552937.990118,1553723.83,819552937.990118,1553723.83
West Virginia,Other,2,Other,2019,195488970.690001,362004.65,195488970.690001,362004.65
Colorado,Other,4,Other,2019,295265401.890004,5300888.6,295265401.890004,5300888.6
Mississippi,Other,1,Other,2022,211915621.62,567925.49,211915621.62,567925.49
Maine,Other,1,Other,2019,196919122.739999,205691.89,196919122.739999,205691.89
Nevada,Fraud,2,Fraud,2018,436359324.65002,3353725.75000001,436359324.65002,3353725.75000001
South Carolina,Fraud,3,Fraud,2020,890919586.840231,9528106.03000006,890919586.840231,9528106.03000006
Minnesota,Fraud,3,Fraud,2021,1605525076.80025,13138856.61,1605525076.80025,13138856.61
Idaho,Other,4,Other,2020,330804770.270009,656773.95,330804770.270009,656773.95
Washington,Other,1,Other,2022,211915621.62,3514119.36,211915621.62,3514119.36
Kansas,Fraud,3,Fraud,2019,665445943.337642,2232550.85,665445943.337642,2232550.85
Minnesota,Fraud,4,Fraud,2018,397093881.427538,5585109.95000002,397093881.427538,5585109.95000002
Oregon,Fraud,4,Fraud,2021,1831379366.41022,19974161.89,1831379366.41022,19974161.89
Virginia,Fraud,4,Fraud,2019,665563062.760347,13607647.11,665563062.760347,13607647.11
Hawaii,Other,2,Other,2020,280093545.500005,697311.12,280093545.500005,697311.12
Texas,Other,3,Other,2018,229059946.16,23684735.64,229059946.16,23684735.64
California,Other,2,Other,2021,193273318.52,24515952.71,193273318.52,24515952.71
Delaware,IDT,4,Identity Theft,2021,0,0,0,0
Puerto Rico,Other,4,Other,2021,198243503.149999,897927.86,198243503.149999,897927.86
Washington,Other,2,Other,2021,193273318.52,2803539.02,193273318.52,2803539.02
Mississippi,Fraud,3,Fraud,2019,665445943.337642,2279574.92,665445943.337642,2279574.92
New Jersey,Fraud,1,Fraud,2022,1691830157.70014,46012157.83,1691830157.70014,46012157.83
Puerto Rico,Other,3,Other,2019,282964798.270002,192702.89,282964798.270002,192702.89
Rhode Island,Other,1,Other,2021,279256627.530002,422842.57,279256627.530002,422842.57
Virginia,Other,1,Other,2019,196919122.739999,7299707.76000001,196919122.739999,7299707.76000001
Wyoming,Other,1,Other,2022,211915621.62,223751.79,211915621.62,223751.79
Alaska,Fraud,1,Fraud,2019,508677995.648923,910505.01,508677995.648923,910505.01
New Mexico,Fraud,1,Fraud,2020,731467189.080063,5619499.85000001,731467189.080063,5619499.85000001
Texas,IDT,3,Identity Theft,2020,0,0,0,0
District of Columbia,Fraud,3,Fraud,2020,890919586.840231,2718222.93,890919586.840231,2718222.93
Wisconsin,Fraud,1,Fraud,2018,348224707.170025,3449339.15000001,348224707.170025,3449339.15000001
Massachusetts,Fraud,2,Fraud,2018,436359324.65002,5896143.78000002,436359324.65002,5896143.78000002
Arizona,Other,3,Other,2021,196990073.340001,4819317.47,196990073.340001,4819317.47
North Dakota,Other,1,Other,2020,273618221.910002,157967.39,273618221.910002,157967.39
North Dakota,Other,1,Other,2019,196919122.739999,107937.38,196919122.739999,107937.38
Connecticut,Fraud,4,Fraud,2018,397093881.427538,2340834.06000001,397093881.427538,2340834.06000001
Florida,Fraud,4,Fraud,2019,665563062.760347,44372382.2199996,665563062.760347,44372382.2199996
Wyoming,Fraud,3,Fraud,2021,1605525076.80025,812457.81,1605525076.80025,812457.81
Idaho,Other,2,Other,2019,195488970.690001,970555.49,195488970.690001,970555.49
Massachusetts,Other,1,Other,2020,273618221.910002,4749377.37000001,273618221.910002,4749377.37000001
South Dakota,Fraud,3,Fraud,2021,1605525076.80025,1087497.12,1605525076.80025,1087497.12
West Virginia,Other,1,Other,2020,273618221.910002,761239.16,273618221.910002,761239.16
