State Name,Quarter,Year,Fixed State F&O,Reports per 100K-F&O together,State Pop,State Total Reports Quarter
Florida,4,2020,67675,315.093717741,21477737,67675
Hawaii,1,2019,1718,121.338652082,1415872,1718
Oklahoma,2,2021,8264,208.846615252,3956971,8264
Hawaii,4,2019,1780,125.717578990,1415872,1780
Wisconsin,1,2022,9377,161.049485490,5822434,9377
District of Columbia,1,2018,2100,297.556213328,705749,2100
Illinois,2,2020,26793,211.437645781,12671821,26793
Kansas,3,2021,5831,200.150069646,2913314,5831
Ohio,4,2018,18605,159.165376291,11689100,18605
Missouri,3,2018,11096,180.792344937,6137428,11096
West Virginia,3,2020,3657,204.056921670,1792147,3657
Arizona,4,2020,17855,245.304220510,7278717,17855
Alaska,1,2022,1304,178.252875763,731545,1304
Washington,1,2020,12332,161.945808037,7614893,12332
Illinois,3,2020,28068,221.499340939,12671821,28068
Nebraska,4,2018,2155,111.403592210,1934408,2155
Puerto Rico,2,2021,2442,76.463180255,3193694,2442
Utah,4,2018,3866,120.587980254,3205958,3866
Maine,1,2022,2247,167.161132321,1344212,2247
Idaho,2,2020,2946,164.851306472,1787065,2946
North Dakota,1,2018,612,80.308426349,762062,612
North Dakota,4,2018,737,96.711291207,762062,737
Washington,4,2021,15979,209.838798785,7614893,15979
Minnesota,2,2018,7517,133.288838704,5639632,7517
Montana,1,2020,1604,150.077939479,1068778,1604
Michigan,1,2019,15079,150.988444112,9986857,15079
South Dakota,2,2018,841,95.064878106,884659,841
Hawaii,3,2020,2990,211.177281562,1415872,2990
Maryland,4,2019,11778,194.816794802,6045680,0
Mississippi,1,2020,4045,135.913894096,2976149,4045
South Dakota,4,2020,1256,141.975608681,884659,1256
Alaska,3,2019,1063,145.308901025,731545,1063
Kansas,2,2018,4481,153.811089364,2913314,4481
Vermont,3,2019,970,155.451458279,623989,970
New Hampshire,2,2018,2027,149.075796254,1359711,2027
Indiana,3,2019,10025,148.910782611,6732219,10025
Georgia,1,2022,31987,301.268961404,10617423,31987
Illinois,3,2020,28068,221.499340939,12671821,28068
Utah,4,2021,5546,172.990413474,3205958,5546
New York,3,2020,49583,254.878785432,19453561,49583
Louisiana,4,2019,6215,133.690587279,4648794,6215
Louisiana,4,2021,14239,306.294492722,4648794,14239
Wisconsin,1,2021,14036,241.067567275,5822434,14036
New York,4,2020,51445,264.450297814,19453561,51445
Virginia,1,2020,16641,194.961782640,8535519,16641
Puerto Rico,2,2021,2442,76.463180255,3193694,2442
Puerto Rico,4,2019,1057,33.096470733,3193694,1057
Massachusetts,2,2020,13532,196.329258036,6892503,13532
North Carolina,4,2020,25869,246.651342609,10488084,25869
Indiana,3,2020,12587,186.966585609,6732219,12587
Louisiana,3,2018,7656,164.687873887,4648794,7656
South Dakota,1,2018,772,87.265262661,884659,772
Indiana,2,2019,10312,153.173864368,6732219,10312
Wyoming,1,2022,851,147.038750153,578759,851
Texas,2,2019,51744,178.452932677,28995881,51744
Louisiana,4,2019,6215,133.690587279,4648794,6215
Utah,4,2021,5546,172.990413474,3205958,5546
Mississippi,1,2018,4339,145.792431763,2976149,4339
Kentucky,1,2020,6867,153.704176649,4467673,6867
Washington,4,2021,15979,209.838798785,7614893,15979
Ohio,4,2018,18605,159.165376291,11689100,18605
Colorado,1,2020,10748,186.638178934,5758736,10748
South Dakota,1,2021,1525,172.382805126,884659,1525
Delaware,2,2018,2036,209.085568988,973764,2036
Pennsylvania,2,2020,29163,227.800539432,12801989,29163
Colorado,4,2019,9837,170.818735222,5758736,9837
Colorado,3,2019,12836,222.896135541,5758736,12836
Rhode Island,4,2018,1525,143.954704770,1059361,1525
Alabama,2,2021,17554,358.012190036,4903185,17554
Vermont,2,2018,652,104.489021441,623989,652
Indiana,4,2019,8762,130.150252094,6732219,8762
Vermont,1,2019,769,123.239351976,623989,769
Missouri,2,2018,11076,180.466475533,6137428,11076
North Carolina,1,2022,21909,208.894207941,10488084,21909
Florida,4,2021,63266,294.565484250,21477737,63266
Colorado,1,2021,19795,343.738625976,5758736,19795
California,2,2019,81249,205.630040102,39512223,81249
Tennessee,1,2019,11301,165.481213394,6829174,11301
Virginia,1,2022,19714,230.964279969,8535519,19714
New Mexico,2,2021,4998,238.359923484,2096829,4998
Massachusetts,3,2019,10502,152.368450184,6892503,10502
Maryland,4,2021,17419,288.123089545,6045680,17419
North Dakota,4,2020,1113,146.051108702,762062,1113
Vermont,1,2021,1684,269.876552311,623989,1684
Utah,4,2019,4078,127.200668256,3205958,4078
New Hampshire,2,2019,2450,180.185348210,1359711,2450
Maryland,2,2018,12039,199.133927036,6045680,12039
Louisiana,3,2019,7500,161.332164858,4648794,7500
North Dakota,4,2018,737,96.711291207,762062,0
Alabama,2,2021,17554,358.012190036,4903185,17554
West Virginia,2,2020,3171,176.938610505,1792147,3171
North Carolina,1,2019,18425,175.675557137,10488084,18425
Arizona,3,2019,17195,236.236688416,7278717,17195
Louisiana,4,2019,6215,133.690587279,4648794,6215
Connecticut,1,2020,6165,172.917355601,3565287,6165
Alabama,1,2018,8888,181.269929648,4903185,8888
Vermont,3,2019,970,155.451458279,623989,970
Nevada,4,2018,6168,200.249597748,3080156,6168
New York,4,2018,30103,154.742877152,19453561,30103
Maine,2,2021,3089,229.800061300,1344212,3089
Alaska,4,2020,1685,230.334429188,731545,1685
Alaska,1,2021,2665,364.297479991,731545,2665
Maryland,1,2020,12652,209.273398526,6045680,12652
Nevada,2,2018,6963,226.059978780,3080156,6963
Illinois,1,2019,19138,151.028017204,12671821,19138
Texas,3,2020,72655,250.570072349,28995881,72655
Idaho,1,2020,2536,141.908660289,1787065,2536
Hawaii,1,2021,3448,243.524838403,1415872,3448
Maine,4,2018,1780,132.419588577,1344212,1780
Utah,4,2020,5880,183.408516269,3205958,5880
South Carolina,4,2019,9198,178.646551352,5148714,9198
Montana,2,2020,1948,182.264230738,1068778,1948
Wisconsin,4,2020,11480,197.168400707,5822434,11480
California,2,2020,90270,228.460949919,39512223,90270
Nebraska,3,2018,2258,116.728218659,1934408,2258
Pennsylvania,2,2019,23944,187.033436757,12801989,23944
Arizona,3,2021,20775,285.421180683,7278717,20775
Colorado,2,2018,10673,185.335809803,5758736,10673
Indiana,4,2020,13998,207.925499750,6732219,13998
New York,4,2021,43343,222.802395921,19453561,43343
Minnesota,2,2020,10302,182.671493459,5639632,10302
Minnesota,2,2018,7517,133.288838704,5639632,7517
Iowa,3,2019,4560,144.529281442,3155070,4560
District of Columbia,4,2020,2740,388.240011676,705749,2740
Nebraska,4,2021,2958,152.915000352,1934408,2958
Puerto Rico,2,2020,1587,49.691673654,3193694,1587
Puerto Rico,4,2020,2035,63.719316879,3193694,2035
New Mexico,4,2018,3139,149.702240860,2096829,3139
Kentucky,4,2019,6056,135.551549990,4467673,6056
Iowa,1,2021,6220,197.143011090,3155070,6220
Delaware,3,2019,2525,259.303075489,973764,2525
Oregon,3,2018,6996,165.870939795,4217737,6996
Maine,2,2021,3089,229.800061300,1344212,3089
Arkansas,3,2019,4564,151.235799277,3017804,4564
Arkansas,2,2020,7962,263.834231779,3017804,7962
New York,2,2021,55663,286.132703416,19453561,55663
Oregon,3,2020,9695,229.862601675,4217737,9695
Vermont,1,2018,652,104.489021441,623989,652
Montana,3,2019,1947,182.170665938,1068778,1947
Alaska,2,2018,1010,138.063960522,731545,1010
Nebraska,3,2019,2825,146.039511830,1934408,2825
Alaska,1,2019,882,120.566745723,731545,882
Oregon,4,2021,8255,195.721070328,4217737,8255
Pennsylvania,4,2021,33282,259.975227287,12801989,33282
California,4,2018,59360,150.231992768,39512223,59360
Washington,2,2018,11301,148.406550164,7614893,11301
Indiana,3,2020,12587,186.966585609,6732219,12587
Michigan,1,2020,15463,154.833497666,9986857,15463
South Dakota,2,2020,1074,121.402709971,884659,1074
Tennessee,3,2021,21977,321.810514712,6829174,21977
Illinois,2,2019,22080,174.244885561,12671821,22080
Idaho,3,2020,3302,184.772238279,1787065,3302
Maryland,4,2019,11778,194.816794802,6045680,11778
Wisconsin,4,2018,7909,135.836662124,5822434,7909
Maine,3,2019,2000,148.786054581,1344212,2000
Massachusetts,3,2020,15198,220.500448096,6892503,15198
Delaware,3,2019,2525,259.303075489,973764,2525
Delaware,1,2022,3010,309.109804840,973764,3010
South Dakota,1,2021,1525,172.382805126,884659,1525
Kentucky,1,2022,7485,167.536881056,4467673,7485
Maine,1,2019,1750,130.187797758,1344212,1750
Delaware,4,2021,2986,306.645141944,973764,2986
Texas,2,2019,51744,178.452932677,28995881,51744
Louisiana,1,2021,13489,290.161276236,4648794,0
Idaho,3,2021,3603,201.615498037,1787065,3603
Texas,1,2021,86722,299.083859532,28995881,86722
Vermont,4,2021,1081,173.240233402,623989,1081
Idaho,2,2019,2812,157.352978207,1787065,2812
New Jersey,2,2021,24926,280.628989022,8882190,24926
Illinois,2,2021,34570,272.810040483,12671821,0
Oregon,1,2021,12146,287.974333155,4217737,12146
Colorado,2,2018,10673,185.335809803,5758736,10673
Kentucky,2,2020,8144,182.287289155,4467673,8144
Hawaii,1,2022,2405,169.859987343,1415872,2405
Arkansas,2,2020,7962,263.834231779,3017804,7962
New Hampshire,1,2022,2363,173.786929723,1359711,2363
Illinois,4,2018,18460,145.677562838,12671821,18460
District of Columbia,2,2021,3035,430.039574976,705749,3035
Puerto Rico,1,2022,1741,54.513676013,3193694,1741
Idaho,2,2019,2812,157.352978207,1787065,2812
South Carolina,4,2019,9198,178.646551352,5148714,9198
North Dakota,1,2018,612,80.308426349,762062,612
South Dakota,3,2021,1121,126.715491506,884659,1121
Montana,1,2019,1291,120.792157024,1068778,1291
Colorado,2,2019,12120,210.462851570,5758736,12120
South Carolina,2,2020,11468,222.735230584,5148714,11468
New Hampshire,3,2020,2799,205.852567200,1359711,2799
Oregon,2,2020,9425,223.461064547,4217737,9425
Oregon,2,2021,10917,258.835484526,4217737,10917
Puerto Rico,3,2021,1925,60.275029480,3193694,1925
Pennsylvania,1,2018,21026,164.240103628,12801989,21026
North Dakota,4,2018,737,96.711291207,762062,737
Massachusetts,1,2021,21023,305.012562200,6892503,21023
New Hampshire,3,2018,2031,149.369976414,1359711,0
New Mexico,2,2019,3698,176.361544027,2096829,3698
New Hampshire,2,2021,3288,241.816091802,1359711,3288
Idaho,4,2020,3271,183.037550397,1787065,3271
Idaho,3,2020,3302,184.772238279,1787065,3302
Kentucky,2,2020,8144,182.287289155,4467673,8144
Puerto Rico,1,2019,786,24.610999050,3193694,786
Kansas,3,2019,4855,166.648703161,2913314,4855
Alabama,3,2018,9470,193.139765275,4903185,9470
South Carolina,3,2019,10348,200.982225853,5148714,10348
Hawaii,1,2018,1648,116.394702346,1415872,1648
Illinois,2,2021,34570,272.810040483,12671821,34570
New York,4,2021,43343,222.802395921,19453561,43343
Louisiana,3,2020,10529,226.488848506,4648794,10529
Washington,2,2019,15513,203.719211813,7614893,15513
Nevada,3,2021,11835,384.233785562,3080156,11835
Indiana,3,2020,12587,186.966585609,6732219,12587
Oklahoma,4,2021,6105,154.284678862,3956971,6105
Utah,4,2019,4078,127.200668256,3205958,4078
Connecticut,4,2019,5721,160.463940210,3565287,5721
Maine,3,2019,2000,148.786054581,1344212,2000
California,2,2020,90270,228.460949919,39512223,90270
District of Columbia,3,2020,2804,397.308391510,705749,2804
Wyoming,3,2018,686,118.529474272,578759,686
Maine,4,2019,1696,126.170574284,1344212,1696
Texas,1,2021,86722,299.083859532,28995881,86722
Florida,3,2021,78078,363.529919377,21477737,78078
Maryland,4,2019,11778,194.816794802,6045680,11778
Arizona,2,2018,13798,189.566375503,7278717,13798
District of Columbia,3,2019,2336,330.995863969,705749,2336
Maine,1,2020,1897,141.123572770,1344212,1897
Texas,3,2021,81525,281.160624159,28995881,81525
Virginia,3,2020,23890,279.889248680,8535519,23890
Kentucky,3,2018,6489,145.243396283,4467673,6489
South Dakota,2,2019,955,107.951199276,884659,955
Maryland,1,2018,11547,190.995884665,6045680,11547
Arkansas,3,2021,6208,205.712498227,3017804,6208
Arkansas,4,2021,5124,169.792339065,3017804,5124
Virginia,2,2020,21525,252.181501793,8535519,21525
Wyoming,4,2018,716,123.712978977,578759,716
North Dakota,1,2018,612,80.308426349,762062,612
Puerto Rico,4,2018,821,25.706908677,3193694,821
New York,2,2019,39284,201.937321398,19453561,39284
New York,4,2021,43343,222.802395921,19453561,43343
Ohio,2,2021,30589,261.688239471,11689100,30589
Wisconsin,4,2020,11480,197.168400707,5822434,11480
Arkansas,3,2019,4564,151.235799277,3017804,4564
New York,3,2018,31798,163.455934880,19453561,31798
Utah,2,2019,5078,158.392592791,3205958,5078
Arkansas,1,2021,6993,231.724790609,3017804,6993
Pennsylvania,1,2018,21026,164.240103628,12801989,21026
New Hampshire,3,2020,2799,205.852567200,1359711,2799
Michigan,1,2021,26451,264.858103005,9986857,26451
Wyoming,1,2018,723,124.922463409,578759,723
Missouri,3,2020,14546,237.004817002,6137428,14546
New Mexico,4,2020,4450,212.225221990,2096829,4450
Michigan,4,2018,15163,151.829549577,9986857,15163
Nevada,2,2021,11581,375.987449986,3080156,11581
Nebraska,3,2021,3243,167.648190041,1934408,3243
Florida,1,2018,56866,264.767186599,21477737,56866
Wisconsin,2,2018,7455,128.039235825,5822434,7455
Wyoming,4,2019,730,126.131947840,578759,730
Hawaii,1,2018,1648,116.394702346,1415872,1648
New Mexico,2,2018,3650,174.072373093,2096829,3650
California,2,2021,105059,265.889874128,39512223,105059
Alaska,3,2021,1735,237.169278718,731545,1735
Pennsylvania,4,2018,19324,150.945294516,12801989,19324
Washington,1,2022,15095,198.229968563,7614893,15095
New York,1,2021,64415,331.121895883,19453561,64415
Idaho,2,2021,3816,213.534482517,1787065,0
Arizona,1,2020,12745,175.099540207,7278717,12745
Alaska,4,2020,1685,230.334429188,731545,1685
District of Columbia,2,2020,2342,331.846024578,705749,0
New York,3,2021,51881,266.691532722,19453561,51881
Pennsylvania,2,2018,20591,160.842194131,12801989,20591
Hawaii,1,2020,2009,141.891357411,1415872,2009
Delaware,1,2022,3010,309.109804840,973764,3010
West Virginia,4,2019,2526,140.948259267,1792147,2526
Montana,4,2021,1822,170.475065916,1068778,1822
Florida,1,2022,62645,291.674118181,21477737,62645
Utah,1,2021,7807,243.515354849,3205958,7807
Virginia,1,2018,14760,172.924458372,8535519,14760
Iowa,2,2019,4380,138.824178227,3155070,4380
Pennsylvania,1,2018,21026,164.240103628,12801989,21026
Utah,3,2019,5418,168.997847133,3205958,5418
Nebraska,3,2020,3540,183.001724559,1934408,3540
Montana,1,2018,1371,128.277341038,1068778,1371
Maine,3,2020,2382,177.204191006,1344212,2382
Pennsylvania,2,2020,29163,227.800539432,12801989,29163
Maine,1,2020,1897,141.123572770,1344212,1897
North Carolina,3,2019,20803,198.348907198,10488084,20803
Connecticut,3,2019,6249,175.273407162,3565287,6249
Indiana,1,2021,18207,270.445747531,6732219,18207
Connecticut,4,2019,5721,160.463940210,3565287,5721
Florida,1,2022,62645,291.674118181,21477737,62645
South Dakota,1,2019,914,103.316645171,884659,914
Arkansas,4,2020,5325,176.452811382,3017804,5325
California,3,2019,71475,180.893390888,39512223,71475
Maine,2,2018,1559,115.978729546,1344212,1559
Utah,1,2022,5766,179.852636872,3205958,5766
Vermont,1,2020,920,147.438496512,623989,920
Wisconsin,4,2019,8130,139.632325588,5822434,0
Michigan,3,2020,20907,209.345142321,9986857,20907
Pennsylvania,1,2018,21026,164.240103628,12801989,21026
Mississippi,2,2019,4519,151.840516049,2976149,4519
Maine,2,2018,1559,115.978729546,1344212,1559
Wisconsin,1,2022,9377,161.049485490,5822434,9377
Minnesota,1,2018,7099,125.877007578,5639632,7099
West Virginia,2,2020,3171,176.938610505,1792147,3171
Puerto Rico,4,2018,821,25.706908677,3193694,821
Minnesota,1,2020,8431,149.495569924,5639632,8431
District of Columbia,4,2020,2740,388.240011676,705749,2740
Delaware,4,2021,2986,306.645141944,973764,2986
New Jersey,3,2019,17556,197.653956963,8882190,17556
South Dakota,4,2019,770,87.039186851,884659,770
New Mexico,1,2018,3357,160.098892184,2096829,3357
Texas,4,2021,64965,224.049064072,28995881,64965
Tennessee,1,2019,11301,165.481213394,6829174,11301
Massachusetts,2,2021,17964,260.631007342,6892503,17964
New York,3,2020,49583,254.878785432,19453561,49583
Nevada,2,2019,8452,274.401686148,3080156,8452
Oklahoma,3,2018,5345,135.078068553,3956971,5345
California,1,2020,64095,162.215626289,39512223,64095
District of Columbia,1,2020,1942,275.168650611,705749,1942
Massachusetts,4,2021,13142,190.670936233,6892503,13142
Massachusetts,4,2019,9083,131.780863933,6892503,9083
Pennsylvania,3,2020,31348,244.868199777,12801989,31348
Vermont,3,2018,720,115.386649444,623989,720
Connecticut,2,2021,8741,245.169603457,3565287,8741
Indiana,4,2020,13998,207.925499750,6732219,0
Maine,1,2019,1750,130.187797758,1344212,1750
Connecticut,2,2021,8741,245.169603457,3565287,8741
Oregon,2,2020,9425,223.461064547,4217737,9425
Ohio,4,2018,18605,159.165376291,11689100,18605
Oklahoma,1,2018,5201,131.438921337,3956971,5201
Nebraska,3,2020,3540,183.001724559,1934408,3540
Georgia,3,2021,41812,393.805540196,10617423,41812
North Carolina,1,2019,18425,175.675557137,10488084,18425
Colorado,2,2018,10673,185.335809803,5758736,10673
Minnesota,3,2020,11357,201.378387810,5639632,11357
Puerto Rico,3,2021,1925,60.275029480,3193694,1925
Oregon,1,2020,7018,166.392546524,4217737,7018
Illinois,1,2020,20328,160.418932685,12671821,20328
Indiana,3,2019,10025,148.910782611,6732219,10025
Montana,1,2019,1291,120.792157024,1068778,1291
Colorado,1,2020,10748,186.638178934,5758736,10748
New York,4,2018,30103,154.742877152,19453561,30103
Arizona,2,2018,13798,189.566375503,7278717,13798
Maryland,1,2020,12652,209.273398526,6045680,12652
Rhode Island,2,2018,1676,158.208580456,1059361,1676
Kansas,2,2018,4481,153.811089364,2913314,4481
Colorado,3,2021,16392,284.645797272,5758736,16392
Wisconsin,2,2018,7455,128.039235825,5822434,7455
District of Columbia,4,2018,2062,292.171862801,705749,2062
Delaware,4,2021,2986,306.645141944,973764,2986
California,3,2018,69265,175.300184958,39512223,69265
Ohio,1,2022,21749,186.062228914,11689100,21749
Indiana,4,2021,11837,175.826128057,6732219,11837
Missouri,1,2021,18016,293.543158470,6137428,18016
Illinois,1,2019,19138,151.028017204,12671821,19138
South Dakota,3,2018,802,90.656399811,884659,802
New Hampshire,4,2018,2052,150.914422256,1359711,2052
South Dakota,2,2018,841,95.064878106,884659,841
South Dakota,1,2022,1098,124.115619691,884659,1098
South Carolina,2,2019,10049,195.174950483,5148714,10049
Kansas,4,2018,4054,139.154241527,2913314,4054
Alabama,2,2019,9073,185.042987364,4903185,9073
Utah,3,2021,6702,209.048278237,3205958,6702
New York,2,2018,31185,160.304840846,19453561,31185
Alaska,1,2018,988,135.056626728,731545,988
District of Columbia,2,2020,2342,331.846024578,705749,2342
South Dakota,4,2019,770,87.039186851,884659,770
Utah,3,2019,5418,168.997847133,3205958,5418
Colorado,1,2022,13566,235.572528416,5758736,13566
Louisiana,3,2021,15421,331.720441904,4648794,15421
Alaska,3,2018,856,117.012623967,731545,856
New York,4,2019,31706,162.983013753,19453561,31706
Connecticut,4,2019,5721,160.463940210,3565287,5721
Arkansas,3,2018,4407,146.033340800,3017804,4407
Illinois,4,2018,18460,145.677562838,12671821,18460
Texas,2,2018,57667,198.879971952,28995881,57667
Wyoming,4,2020,1021,176.411943486,578759,1021
Kansas,4,2020,8220,282.152902159,2913314,8220
Alabama,1,2021,16281,332.049473964,4903185,16281
West Virginia,2,2019,2931,163.546851904,1792147,2931
Puerto Rico,4,2020,2035,63.719316879,3193694,2035
Pennsylvania,3,2018,21004,164.068255331,12801989,21004
District of Columbia,1,2018,2100,297.556213328,705749,2100
Nevada,1,2019,6301,204.567560864,3080156,6301
Iowa,1,2021,6220,197.143011090,3155070,6220
Arizona,1,2021,21974,301.893863987,7278717,21974
Virginia,3,2020,23890,279.889248680,8535519,23890
Nebraska,4,2021,2958,152.915000352,1934408,2958
Idaho,1,2020,2536,141.908660289,1787065,2536
Wyoming,4,2019,730,126.131947840,578759,730
Iowa,2,2018,3543,112.295448278,3155070,3543
Colorado,1,2018,10464,181.706541158,5758736,10464
Maryland,1,2021,25158,416.131849519,6045680,25158
Alabama,1,2019,7506,153.084168760,4903185,7506
California,1,2018,64431,163.065996059,39512223,0
Georgia,1,2022,31987,301.268961404,10617423,31987
Kansas,4,2020,8220,282.152902159,2913314,8220
New Hampshire,4,2019,2029,149.222886334,1359711,2029
Maryland,4,2019,11778,194.816794802,6045680,11778
Texas,3,2018,56558,195.055290784,28995881,56558
Idaho,3,2020,3302,184.772238279,1787065,3302
Texas,3,2019,53177,183.395013933,28995881,53177
Ohio,1,2020,19696,168.498857910,11689100,0
Tennessee,1,2019,11301,165.481213394,6829174,11301
Louisiana,1,2020,6849,147.328532949,4648794,6849
Alaska,3,2018,856,117.012623967,731545,856
Utah,2,2021,6880,214.600440804,3205958,6880
Maine,1,2018,1604,119.326415774,1344212,1604
South Dakota,2,2021,1351,152.714209656,884659,1351
Georgia,4,2019,21002,197.806944303,10617423,21002
Nevada,1,2021,11896,386.214204735,3080156,11896
Arizona,1,2019,11875,163.146884265,7278717,11875
Nevada,3,2019,8965,291.056686739,3080156,8965
Alabama,1,2021,16281,332.049473964,4903185,16281
Iowa,2,2019,4380,138.824178227,3155070,4380
Nevada,2,2020,9484,307.906482659,3080156,9484
Puerto Rico,4,2019,1057,33.096470733,3193694,1057
Arizona,4,2020,17855,245.304220510,7278717,17855
Kentucky,1,2019,6041,135.215804738,4467673,6041
New Jersey,4,2018,14455,162.741395985,8882190,14455
North Dakota,4,2021,882,115.738614443,762062,882
North Carolina,2,2020,23052,219.792289993,10488084,23052
Kansas,4,2018,4054,139.154241527,2913314,4054
New Hampshire,1,2018,1930,141.941927365,1359711,1930
New York,4,2018,30103,154.742877152,19453561,30103
New York,2,2021,55663,286.132703416,19453561,0
Nebraska,4,2018,2155,111.403592210,1934408,2155
Idaho,1,2020,2536,141.908660289,1787065,2536
Colorado,2,2018,10673,185.335809803,5758736,10673
California,4,2019,57555,145.663786115,39512223,57555
Hawaii,1,2022,2405,169.859987343,1415872,2405
Virginia,1,2022,19714,230.964279969,8535519,19714
Hawaii,1,2020,2009,141.891357411,1415872,2009
Missouri,4,2021,11671,190.161090281,6137428,11671
Wyoming,2,2018,695,120.084525683,578759,695
Massachusetts,3,2018,9666,140.239329602,6892503,9666
California,2,2020,90270,228.460949919,39512223,90270
Arizona,2,2018,13798,189.566375503,7278717,0
Maine,2,2019,2084,155.035068873,1344212,2084
North Carolina,3,2021,28870,275.264767140,10488084,28870
Louisiana,3,2019,7500,161.332164858,4648794,7500
West Virginia,2,2021,3670,204.782308594,1792147,3670
Wyoming,2,2021,1185,204.748435877,578759,1185
Hawaii,1,2020,2009,141.891357411,1415872,2009
Pennsylvania,4,2021,33282,259.975227287,12801989,33282
Wisconsin,4,2019,8130,139.632325588,5822434,8130
Oregon,3,2018,6996,165.870939795,4217737,6996
South Carolina,1,2022,11103,215.646081721,5148714,11103
Minnesota,4,2021,9218,163.450381160,5639632,9218
Iowa,1,2021,6220,197.143011090,3155070,6220
Utah,4,2021,5546,172.990413474,3205958,5546
Minnesota,3,2021,11347,201.201071276,5639632,11347
New Hampshire,4,2018,2052,150.914422256,1359711,2052
Ohio,3,2020,27009,231.061416191,11689100,27009
Illinois,2,2019,22080,174.244885561,12671821,22080
Illinois,1,2019,19138,151.028017204,12671821,19138
New Mexico,2,2018,3650,174.072373093,2096829,3650
North Dakota,3,2019,800,104.978335096,762062,800
Mississippi,4,2021,5522,185.541785710,2976149,5522
Montana,4,2019,1380,129.119424240,1068778,1380
Maine,1,2020,1897,141.123572770,1344212,1897
Pennsylvania,1,2019,20130,157.241191193,12801989,20130
Iowa,3,2019,4560,144.529281442,3155070,4560
Utah,2,2019,5078,158.392592791,3205958,5078
South Dakota,3,2019,937,105.916516986,884659,937
Texas,3,2019,53177,183.395013933,28995881,53177
North Dakota,1,2019,790,103.666105907,762062,790
South Dakota,3,2018,802,90.656399811,884659,802
Virginia,3,2019,18163,212.793152941,8535519,18163
West Virginia,1,2022,2594,144.742590870,1792147,2594
Arizona,3,2020,19028,261.419698004,7278717,19028
Puerto Rico,3,2020,1702,53.292519571,3193694,1702
West Virginia,4,2020,3261,181.960519980,1792147,3261
Wisconsin,4,2020,11480,197.168400707,5822434,11480
Illinois,3,2020,28068,221.499340939,12671821,28068
Wisconsin,2,2018,7455,128.039235825,5822434,7455
Puerto Rico,3,2020,1702,53.292519571,3193694,1702
Puerto Rico,4,2019,1057,33.096470733,3193694,1057
District of Columbia,2,2018,2210,313.142491169,705749,2210
New Mexico,2,2019,3698,176.361544027,2096829,3698
Virginia,1,2021,28022,328.298724424,8535519,28022
Arizona,4,2021,15537,213.457948702,7278717,15537
Kansas,1,2022,4348,149.245841677,2913314,4348
District of Columbia,1,2020,1942,275.168650611,705749,1942
Nebraska,1,2020,2449,126.602040521,1934408,2449
New Hampshire,1,2020,2312,170.036132678,1359711,2312
Vermont,4,2018,830,133.015165331,623989,830
Washington,2,2020,18941,248.736259328,7614893,18941
Georgia,1,2019,21230,199.954358040,10617423,21230
Hawaii,3,2021,3296,232.789404692,1415872,3296
Wisconsin,1,2020,8552,146.880153558,5822434,8552
Michigan,3,2021,22572,226.017054214,9986857,22572
California,3,2020,93753,237.275943700,39512223,93753
Delaware,2,2021,3611,370.829071520,973764,3611
Rhode Island,4,2021,1933,182.468488079,1059361,1933
Idaho,4,2021,2933,164.123856715,1787065,2933
West Virginia,3,2020,3657,204.056921670,1792147,3657
North Carolina,4,2018,17600,167.809487414,10488084,17600
Tennessee,3,2018,19639,287.575042018,6829174,19639
District of Columbia,1,2019,1883,266.808737951,705749,1883
Minnesota,1,2021,14000,248.243147780,5639632,14000
South Carolina,2,2020,11468,222.735230584,5148714,11468
Missouri,1,2020,10751,175.171097730,6137428,10751
Hawaii,3,2020,2990,211.177281562,1415872,2990
Wisconsin,4,2021,9738,167.249641645,5822434,9738
New York,1,2019,34171,175.654215699,19453561,34171
New Jersey,3,2020,22338,251.492030682,8882190,22338
Oklahoma,4,2018,4681,118.297556388,3956971,4681
West Virginia,3,2020,3657,204.056921670,1792147,3657
Michigan,2,2021,23109,231.394121294,9986857,23109
Missouri,1,2018,10664,173.753565826,6137428,10664
Mississippi,1,2021,7240,243.267390174,2976149,7240
New Mexico,2,2018,3650,174.072373093,2096829,0
Arizona,3,2019,17195,236.236688416,7278717,17195
North Carolina,1,2018,17541,167.246944246,10488084,17541
District of Columbia,4,2018,2062,292.171862801,705749,2062
Colorado,3,2021,16392,284.645797272,5758736,16392
Vermont,4,2020,1255,201.125340351,623989,1255
Alaska,1,2021,2665,364.297479991,731545,2665
New York,4,2018,30103,154.742877152,19453561,30103
New Hampshire,1,2020,2312,170.036132678,1359711,2312
Mississippi,1,2022,4998,167.935140344,2976149,4998
Vermont,3,2021,1262,202.247154998,623989,1262
Oklahoma,4,2018,4681,118.297556388,3956971,4681
Indiana,1,2018,9199,136.641425361,6732219,9199
Maine,2,2020,2378,176.906618896,1344212,2378
Maryland,1,2018,11547,190.995884665,6045680,11547
New Hampshire,4,2021,2382,175.184285484,1359711,2382
Hawaii,4,2020,2792,197.192966596,1415872,2792
Wyoming,2,2021,1185,204.748435877,578759,1185
New Mexico,3,2019,3709,176.886145699,2096829,3709
Massachusetts,3,2019,10502,152.368450184,6892503,10502
Michigan,4,2020,20634,206.611549560,9986857,20634
Idaho,1,2022,2866,160.374692583,1787065,2866
Minnesota,3,2018,8125,144.069683979,5639632,8125
Arkansas,4,2021,5124,169.792339065,3017804,5124
