State Name,Quarter,Report Type,State Median Year,Year,Fixed Overall Median Qtr,Fixed Overall Median Yr,Fixed State Median Qtr,Fixed State Median Yr,Overall Median Losses Qtr,Overall Median Losses Yr,State Median Quarterly
Maine,3,Fraud,251,2019,400,394.99,250,251,400,394.99,250
North Carolina,1,Fraud,500,2022,600,600,500,500,600,600,500
New Mexico,4,Other,478.6,2020,500,487.89,459,478.6,500,487.89,459
Tennessee,4,Fraud,400,2021,550,500,460,400,550,500,460
Maryland,1,Fraud,600,2022,600,600,600,600,600,600,600
Alaska,2,Fraud,491,2018,396,370,500,491,396,370,500
New Jersey,4,Fraud,510,2021,550,500,700,510,550,500,700
Arizona,1,Fraud,700,2022,600,600,700,700,600,600,700
Vermont,3,Fraud,329,2021,500,500,300,329,500,500,300
Minnesota,2,Identity Theft,0,2021,0,0,0,0,0,0,0
Indiana,2,Fraud,235,2020,325,304.99,262.14,235,325,304.99,262.14
Tennessee,3,Other,388,2019,500,476.66,399.89,388,500,476.66,399.89
Oklahoma,3,Other,450,2019,500,476.66,420,450,500,476.66,420
California,2,Other,619.38,2021,700,618.38,735,619.38,700,618.38,735
Mississippi,2,Fraud,315.25,2019,422.08,394.99,406.5,315.25,422.08,394.99,406.5
Montana,1,Fraud,398.5,2018,404.565,370,436.5,398.5,404.565,370,436.5
New Hampshire,3,Fraud,230.55,2020,279,304.99,195,230.55,279,304.99,195
Georgia,1,Fraud,300,2020,330.64,304.99,300,300,330.64,304.99,300
Arkansas,2,Other,350,2019,499,476.66,355.75,350,499,476.66,355.75
Illinois,1,Other,400,2018,500,460,475,400,500,460,475
Iowa,3,Fraud,379.16,2021,500,500,344.29,379.16,500,500,344.29
New Jersey,4,Fraud,354.18,2018,306.25,370,309,354.18,306.25,370,309
Pennsylvania,2,Other,386,2018,499,460,398.9,386,499,460,398.9
New Jersey,1,Other,496,2019,410.21,476.66,500,496,410.21,476.66,500
Montana,2,Fraud,300,2019,422.08,394.99,267,300,422.08,394.99,267
New Hampshire,4,Other,602.5,2021,700,618.38,474.5,602.5,700,618.38,474.5
Louisiana,2,Other,650,2021,700,618.38,687.5,650,700,618.38,687.5
Mississippi,4,Fraud,326,2018,306.25,370,265,326,306.25,370,265
Georgia,2,Fraud,500,2021,507,500,500,500,507,500,500
Nevada,3,Fraud,428.5,2018,380,370,490,428.5,380,370,490
Kentucky,2,Fraud,207,2020,325,304.99,214.44,207,325,304.99,214.44
Texas,1,Fraud,600,2022,600,600,600,600,600,600,600
North Carolina,2,Fraud,449.53,2021,507,500,500,449.53,507,500,500
Massachusetts,2,Other,500,2020,431,487.89,400,500,431,487.89,400
Maryland,3,Other,524,2019,500,476.66,523,524,500,476.66,523
Massachusetts,4,Other,500,2020,500,487.89,500,500,500,487.89,500
Delaware,3,Fraud,369,2019,400,394.99,366.67,369,400,394.99,366.67
Florida,2,Other,466.81,2018,499,460,500,466.81,499,460,500
Indiana,3,Fraud,319,2019,400,394.99,374.73,319,400,394.99,374.73
Iowa,1,Fraud,379.16,2021,402.995,500,262.55,379.16,402.995,500,262.55
Ohio,1,Fraud,375,2021,402.995,500,300,375,402.995,500,300
Illinois,1,Fraud,500,2022,600,600,500,500,600,600,500
Vermont,2,Other,394.98,2018,499,460,456,394.98,499,460,456
South Dakota,3,Fraud,240,2020,279,304.99,182,240,279,304.99,182
Michigan,2,Fraud,250,2020,325,304.99,288.47,250,325,304.99,288.47
Missouri,4,Other,390.9,2019,492,476.66,352,390.9,492,476.66,352
West Virginia,1,Fraud,500,2022,600,600,500,500,600,600,500
Colorado,2,Other,500,2018,499,460,501,500,499,460,501
Minnesota,1,Fraud,380,2019,375,394.99,300,380,375,394.99,300
Massachusetts,2,Fraud,289.52,2019,422.08,394.99,300,289.52,422.08,394.99,300
Indiana,3,Fraud,235,2020,279,304.99,201.95,235,279,304.99,201.95
West Virginia,3,Fraud,300,2018,380,370,250,300,380,370,250
Alabama,2,Fraud,437,2021,507,500,500,437,507,500,500
Illinois,2,Other,500,2020,431,487.89,450,500,431,487.89,450
Alabama,2,Other,410,2020,431,487.89,379,410,431,487.89,379
North Carolina,4,Other,350,2020,500,487.89,375,350,500,487.89,375
Indiana,1,Fraud,235,2020,330.64,304.99,250,235,330.64,304.99,250
North Dakota,2,Fraud,411,2019,422.08,394.99,500,411,422.08,394.99,500
Arizona,4,Fraud,525,2021,550,500,650,525,550,500,650
North Carolina,4,Fraud,276.955,2020,328,304.99,230.24,276.955,328,304.99,230.24
Ohio,1,Other,334.18,2018,500,460,272.01,334.18,500,460,272.01
Connecticut,1,Other,400,2020,495,487.89,500,400,495,487.89,500
Minnesota,2,Other,381,2018,499,460,428.28,381,499,460,428.28
Connecticut,1,Fraud,301.75,2018,404.565,370,312,301.75,404.565,370,312
North Carolina,4,Fraud,276.955,2020,328,304.99,230.24,276.955,328,304.99,230.24
Idaho,4,Fraud,400,2019,335.88,394.99,300,400,335.88,394.99,300
Illinois,2,Fraud,278,2020,325,304.99,297.99,278,325,304.99,297.99
Minnesota,2,Fraud,380,2019,422.08,394.99,500,380,422.08,394.99,500
Wisconsin,4,Fraud,300,2019,335.88,394.99,247.26,300,335.88,394.99,247.26
Tennessee,2,Other,388,2019,499,476.66,400,388,499,476.66,400
Illinois,3,Fraud,300,2018,380,370,299,300,380,370,299
Massachusetts,3,Fraud,335.75,2018,380,370,328.5,335.75,380,370,328.5
West Virginia,2,Other,330.68,2018,499,460,300,330.68,499,460,300
Louisiana,1,Fraud,300,2020,330.64,304.99,290.74,300,330.64,304.99,290.74
Kentucky,2,Fraud,207,2020,325,304.99,214.44,207,325,304.99,214.44
Wisconsin,2,Fraud,395.28,2021,507,500,440,395.28,507,500,440
Vermont,2,Other,584.5,2021,700,618.38,569,584.5,700,618.38,569
Rhode Island,3,Fraud,447,2021,500,500,490,447,500,500,490
Alabama,3,Fraud,354,2019,400,394.99,326.5,354,400,394.99,326.5
Massachusetts,4,Fraud,500,2021,550,500,573,500,550,500,573
West Virginia,2,Other,500,2021,700,618.38,500,500,700,618.38,500
Michigan,4,Fraud,400,2021,550,500,470,400,550,500,470
Pennsylvania,1,Fraud,500,2022,600,600,500,500,600,600,500
Tennessee,1,Other,500,2020,495,487.89,500,500,495,487.89,500
Pennsylvania,1,Other,475,2020,495,487.89,417.2,475,495,487.89,417.2
Connecticut,4,Other,650,2021,700,618.38,600,650,700,618.38,600
Alaska,4,Other,541.595,2019,492,476.66,578.4,541.595,492,476.66,578.4
Ohio,4,Other,345,2019,492,476.66,360,345,492,476.66,360
Maine,2,Fraud,400,2021,507,500,500,400,507,500,500
North Carolina,1,Fraud,449.53,2021,402.995,500,396.5,449.53,402.995,500,396.5
South Dakota,3,Other,400,2020,490,487.89,337.86,400,490,487.89,337.86
Puerto Rico,3,Fraud,350,2019,400,394.99,400,350,400,394.99,400
Iowa,1,Other,300,2019,410.21,476.66,205.76,300,410.21,476.66,205.76
New Jersey,4,Fraud,314,2020,328,304.99,317,314,328,304.99,317
Texas,1,Fraud,600,2022,600,600,600,600,600,600,600
Massachusetts,1,Other,500,2019,410.21,476.66,459,500,410.21,476.66,459
Missouri,2,Fraud,300,2018,396,370,350,300,396,370,350
Missouri,4,Other,344.52,2018,400.08,460,309.5,344.52,400.08,460,309.5
Delaware,1,Fraud,299.99,2018,404.565,370,471.625,299.99,404.565,370,471.625
Alaska,1,Other,400,2022,727.875,727.875,400,400,727.875,727.875,400
Idaho,1,Fraud,514.36,2022,600,600,514.36,514.36,600,600,514.36
North Carolina,3,Fraud,350,2019,400,394.99,400,350,400,394.99,400
Wyoming,1,Other,391,2022,727.875,727.875,391,391,727.875,727.875,391
Wyoming,2,Fraud,400,2019,422.08,394.99,400,400,422.08,394.99,400
Rhode Island,1,Other,580.23,2019,410.21,476.66,500,580.23,410.21,476.66,500
New Mexico,3,Other,535.98,2018,460.27,460,574,535.98,460.27,460,574
New Jersey,2,Fraud,389.06,2019,422.08,394.99,405.74,389.06,422.08,394.99,405.74
Iowa,1,Other,307,2018,500,460,350,307,500,460,350
Delaware,4,Other,534.96,2020,500,487.89,620.6,534.96,500,487.89,620.6
Michigan,3,Fraud,300,2019,400,394.99,326,300,400,394.99,326
New Mexico,2,Fraud,400,2018,396,370,499.5,400,396,370,499.5
Kansas,2,Other,350,2018,499,460,391.42,350,499,460,391.42
Alaska,4,Other,600,2018,400.08,460,600,600,400.08,460,600
Oklahoma,2,Other,465,2020,431,487.89,500,465,431,487.89,500
California,1,Other,465.94,2018,500,460,498.5,465.94,500,460,498.5
Oklahoma,3,Other,465,2020,490,487.89,448.31,465,490,487.89,448.31
Mississippi,3,Other,700,2021,727,618.38,1000,700,727,618.38,1000
South Dakota,2,Fraud,411.5,2018,396,370,375,411.5,396,370,375
New Jersey,3,Other,500,2018,460.27,460,500,500,460.27,460,500
Nevada,2,Other,525,2020,431,487.89,487.67,525,431,487.89,487.67
Oregon,1,Fraud,299.265,2020,330.64,304.99,267,299.265,330.64,304.99,267
Oklahoma,1,Other,487.98,2022,727.875,727.875,487.98,487.98,727.875,727.875,487.98
Montana,1,Other,500,2020,495,487.89,542,500,495,487.89,542
Florida,1,Other,499,2020,495,487.89,500,499,495,487.89,500
South Carolina,2,Other,460.655,2019,499,476.66,460,460.655,499,476.66,460
Wisconsin,1,Fraud,300,2019,375,394.99,250,300,375,394.99,250
Texas,1,Other,500,2019,410.21,476.66,440.87,500,410.21,476.66,440.87
Missouri,3,Fraud,300,2019,400,394.99,309,300,400,394.99,309
Montana,4,Other,774.5,2021,700,618.38,1000,774.5,700,618.38,1000
Florida,2,Fraud,395,2018,396,370,399.99,395,396,370,399.99
Nevada,4,Fraud,428.5,2018,306.25,370,365,428.5,306.25,370,365
Connecticut,1,Fraud,459.73,2021,402.995,500,319.985,459.73,402.995,500,319.985
Kentucky,2,Fraud,300,2019,422.08,394.99,400,300,422.08,394.99,400
Alabama,1,Fraud,311,2018,404.565,370,349.99,311,404.565,370,349.99
Kentucky,1,Other,600,2022,727.875,727.875,600,600,727.875,727.875,600
District of Columbia,2,Other,542.855,2021,700,618.38,445,542.855,700,618.38,445
California,2,Fraud,400,2018,396,370,400,400,396,370,400
Michigan,4,Other,306.99,2018,400.08,460,263.96,306.99,400.08,460,263.96
South Carolina,2,Other,600,2021,700,618.38,600,600,700,618.38,600
New Hampshire,1,Other,595,2022,727.875,727.875,595,595,727.875,727.875,595
Missouri,3,Other,390.9,2019,500,476.66,400,390.9,500,476.66,400
Puerto Rico,2,Other,409.5,2019,499,476.66,474.95,409.5,499,476.66,474.95
Idaho,4,Other,452,2018,400.08,460,417,452,400.08,460,417
Puerto Rico,3,Other,492.5,2021,727,618.38,558,492.5,727,618.38,558
New Jersey,1,Fraud,700,2022,600,600,700,700,600,600,700
Pennsylvania,3,Fraud,405,2021,500,500,400,405,500,500,400
Alabama,2,Other,410,2020,431,487.89,379,410,431,487.89,379
Washington,1,Fraud,395,2020,330.64,304.99,345.6,395,330.64,304.99,345.6
California,3,Other,494.16,2019,500,476.66,481.89,494.16,500,476.66,481.89
Missouri,4,Fraud,300,2018,306.25,370,246.44,300,306.25,370,246.44
Connecticut,3,Fraud,299.99,2019,400,394.99,350.43,299.99,400,394.99,350.43
New Jersey,4,Fraud,354.18,2018,306.25,370,309,354.18,306.25,370,309
Utah,1,Fraud,400,2019,375,394.99,374.5,400,375,394.99,374.5
Connecticut,1,Fraud,301.75,2018,404.565,370,312,301.75,404.565,370,312
Pennsylvania,1,Fraud,254.75,2020,330.64,304.99,278.36,254.75,330.64,304.99,278.36
South Carolina,2,Fraud,283.765,2020,325,304.99,299,283.765,325,304.99,299
Georgia,3,Fraud,500,2021,500,500,509.995,500,500,500,509.995
Pennsylvania,1,Other,564.55,2021,535,618.38,517.61,564.55,535,618.38,517.61
Montana,1,Fraud,295.89,2020,330.64,304.99,350,295.89,330.64,304.99,350
Minnesota,4,Other,379.305,2019,492,476.66,408.04,379.305,492,476.66,408.04
Georgia,1,Fraud,500,2021,402.995,500,409.625,500,402.995,500,409.625
District of Columbia,3,Other,500,2019,500,476.66,500,500,500,476.66,500
Virginia,4,Other,599,2021,700,618.38,600,599,700,618.38,600
Kentucky,3,Other,321.5,2020,490,487.89,323,321.5,490,487.89,323
Maryland,4,Other,500,2020,500,487.89,539.835,500,500,487.89,539.835
Oregon,4,Fraud,299.265,2020,328,304.99,308.45,299.265,328,304.99,308.45
Wisconsin,3,Fraud,300,2019,400,394.99,300,300,400,394.99,300
Kansas,4,Fraud,350,2018,306.25,370,265,350,306.25,370,265
Alabama,4,Other,600,2021,700,618.38,600,600,700,618.38,600
New Mexico,4,Fraud,408.62,2020,328,304.99,400,408.62,328,304.99,400
District of Columbia,3,Other,542.855,2021,727,618.38,557,542.855,727,618.38,557
Mississippi,1,Fraud,500,2022,600,600,500,500,600,600,500
Rhode Island,2,Other,580.23,2019,499,476.66,400,580.23,499,476.66,400
Washington,2,Fraud,395,2020,325,304.99,630,395,325,304.99,630
Alabama,4,Fraud,437,2021,550,500,500,437,550,500,500
Colorado,3,Fraud,486.13,2021,500,500,499,486.13,500,500,499
Minnesota,2,Fraud,359,2018,396,370,450,359,396,370,450
Utah,2,Other,700,2021,700,618.38,728.05,700,700,618.38,728.05
New Hampshire,3,Fraud,230.55,2020,279,304.99,195,230.55,279,304.99,195
Maryland,4,Identity Theft,0,2021,0,0,0,0,0,0,0
Texas,3,Fraud,500,2021,500,500,500,500,500,500,500
Indiana,3,Fraud,319,2019,400,394.99,374.73,319,400,394.99,374.73
Mississippi,1,Other,420,2018,500,460,598,420,500,460,598
Nebraska,3,Other,327,2019,500,476.66,324,327,500,476.66,324
Minnesota,4,Other,381,2018,400.08,460,336,381,400.08,460,336
Nevada,4,Other,525,2020,500,487.89,510,525,500,487.89,510
Oklahoma,4,Other,465,2020,500,487.89,449,465,500,487.89,449
Georgia,2,Fraud,500,2021,507,500,500,500,507,500,500
Texas,2,Fraud,408,2019,422.08,394.99,454.03,408,422.08,394.99,454.03
New Hampshire,3,Other,602.5,2021,727,618.38,650,602.5,727,618.38,650
Pennsylvania,4,Other,443.64,2019,492,476.66,450,443.64,492,476.66,450
Kentucky,4,Other,321.5,2020,500,487.89,400,321.5,500,487.89,400
Kansas,3,Fraud,249,2020,279,304.99,199.99,249,279,304.99,199.99
Kentucky,4,Other,500,2021,700,618.38,600,500,700,618.38,600
Mississippi,1,Other,500,2020,495,487.89,510.07,500,495,487.89,510.07
New York,2,Fraud,320.51,2018,396,370,344,320.51,396,370,344
Puerto Rico,1,Other,525,2018,500,460,539.865,525,500,460,539.865
Illinois,4,Other,650.31,2021,700,618.38,756.64,650.31,700,618.38,756.64
Wisconsin,1,Other,344.01,2020,495,487.89,300,344.01,495,487.89,300
West Virginia,3,Other,294.34,2019,500,476.66,280,294.34,500,476.66,280
Rhode Island,1,Fraud,350,2018,404.565,370,439,350,404.565,370,439
Virginia,4,Fraud,500,2021,550,500,603,500,550,500,603
District of Columbia,4,Other,481.6,2020,500,487.89,509,481.6,500,487.89,509
Oregon,2,Other,400,2019,499,476.66,497,400,499,476.66,497
New York,3,Other,366.91,2020,490,487.89,367.92,366.91,490,487.89,367.92
Indiana,2,Other,400,2019,499,476.66,446,400,499,476.66,446
Delaware,4,Fraud,500,2021,550,500,500,500,550,500,500
Wyoming,2,Fraud,304,2020,325,304.99,285,304,325,304.99,285
Oklahoma,2,Fraud,361.975,2019,422.08,394.99,427.39,361.975,422.08,394.99,427.39
Connecticut,4,Fraud,301.75,2018,306.25,370,265,301.75,306.25,370,265
Pennsylvania,2,Other,564.55,2021,700,618.38,649.615,564.55,700,618.38,649.615
District of Columbia,2,Fraud,500,2021,507,500,525.225,500,507,500,525.225
Wisconsin,3,Other,499,2021,727,618.38,513.73,499,727,618.38,513.73
Hawaii,4,Fraud,641.75,2021,550,500,1144.5,641.75,550,500,1144.5
Montana,1,Fraud,300,2019,375,394.99,412.5,300,375,394.99,412.5
Tennessee,3,Fraud,400,2021,500,500,499,400,500,500,499
New York,1,Other,400,2018,500,460,350,400,500,460,350
Oregon,4,Fraud,345.4,2018,306.25,370,250,345.4,306.25,370,250
New Jersey,2,Other,500,2018,499,460,600,500,499,460,600
New Jersey,1,Identity Theft,0,2020,0,0,0,0,0,0,0
Georgia,1,Fraud,334.49,2019,375,394.99,324,334.49,375,394.99,324
Indiana,1,Fraud,319,2019,375,394.99,300,319,375,394.99,300
Florida,1,Fraud,535,2021,402.995,500,500,535,402.995,500,500
Hawaii,3,Other,700,2021,727,618.38,475,700,727,618.38,475
Virginia,3,Other,445.9,2018,460.27,460,408.5,445.9,460.27,460,408.5
Nevada,4,Fraud,400,2020,328,304.99,406.885,400,328,304.99,406.885
California,4,Other,619.38,2021,700,618.38,700,619.38,700,618.38,700
Georgia,4,Fraud,500,2021,550,500,500,500,550,500,500
Nevada,3,Fraud,400,2020,279,304.99,300,400,279,304.99,300
South Dakota,1,Other,293.94,2018,500,460,414.5,293.94,500,460,414.5
North Dakota,4,Other,505.04,2018,400.08,460,500.04,505.04,400.08,460,500.04
Idaho,4,Fraud,282.99,2020,328,304.99,300,282.99,328,304.99,300
Connecticut,2,Other,436,2019,499,476.66,633.535,436,499,476.66,633.535
Iowa,1,Other,600,2022,727.875,727.875,600,600,727.875,727.875,600
Massachusetts,4,Fraud,500,2021,550,500,573,500,550,500,573
Hawaii,2,Fraud,356.02,2020,325,304.99,356.02,356.02,325,304.99,356.02
Wyoming,2,Fraud,400,2019,422.08,394.99,400,400,422.08,394.99,400
Montana,4,Fraud,295.89,2020,328,304.99,300,295.89,328,304.99,300
Minnesota,4,Other,379.305,2019,492,476.66,408.04,379.305,492,476.66,408.04
North Dakota,3,Fraud,483.995,2018,380,370,444,483.995,380,370,444
Idaho,1,Fraud,514.36,2022,600,600,514.36,514.36,600,600,514.36
Louisiana,1,Other,950,2022,727.875,727.875,950,950,727.875,727.875,950
Nebraska,2,Fraud,341.08,2018,396,370,389,341.08,396,370,389
Utah,1,Fraud,400,2019,375,394.99,374.5,400,375,394.99,374.5
Alabama,2,Fraud,260,2020,325,304.99,250.045,260,325,304.99,250.045
Arizona,3,Fraud,399,2018,380,370,400,399,380,370,400
West Virginia,1,Fraud,202.22,2020,330.64,304.99,299.12,202.22,330.64,304.99,299.12
Delaware,1,Fraud,299.99,2018,404.565,370,471.625,299.99,404.565,370,471.625
Puerto Rico,3,Other,550,2020,490,487.89,500,550,490,487.89,500
Puerto Rico,2,Fraud,368,2020,325,304.99,397.5,368,325,304.99,397.5
Massachusetts,3,Fraud,271.5,2020,279,304.99,247,271.5,279,304.99,247
New Jersey,4,Other,500,2018,400.08,460,469,500,400.08,460,469
Alaska,3,Fraud,491,2018,380,370,500,491,380,370,500
Indiana,2,Identity Theft,0,2021,0,0,0,0,0,0,0
Oklahoma,1,Other,450,2018,500,460,434.5,450,500,460,434.5
Texas,3,Fraud,380,2018,380,370,399.99,380,380,370,399.99
Tennessee,1,Fraud,269.505,2020,330.64,304.99,300,269.505,330.64,304.99,300
Texas,3,Fraud,329.915,2020,279,304.99,297,329.915,279,304.99,297
Delaware,1,Fraud,500,2022,600,600,500,500,600,600,500
Pennsylvania,2,Other,564.55,2021,700,618.38,649.615,564.55,700,618.38,649.615
California,1,Fraud,400,2020,330.64,304.99,400,400,330.64,304.99,400
Virginia,1,Other,599,2021,535,618.38,531,599,535,618.38,531
Louisiana,1,Fraud,300,2020,330.64,304.99,290.74,300,330.64,304.99,290.74
Rhode Island,1,Other,557.985,2020,495,487.89,597.5,557.985,495,487.89,597.5
New Jersey,2,Fraud,389.06,2019,422.08,394.99,405.74,389.06,422.08,394.99,405.74
Iowa,4,Other,300,2019,492,476.66,353,300,492,476.66,353
Kentucky,2,Fraud,300,2018,396,370,311.5,300,396,370,311.5
Delaware,4,Fraud,399,2020,328,304.99,404.9,399,328,304.99,404.9
Hawaii,1,Other,464.5,2020,495,487.89,395,464.5,495,487.89,395
Indiana,4,Fraud,319,2019,335.88,394.99,300,319,335.88,394.99,300
Georgia,1,Fraud,317.5,2018,404.565,370,344.5,317.5,404.565,370,344.5
Kentucky,4,Other,310,2018,400.08,460,273,310,400.08,460,273
Oregon,1,Fraud,347.915,2019,375,394.99,309.095,347.915,375,394.99,309.095
Arizona,1,Fraud,440,2019,375,394.99,449.995,440,375,394.99,449.995
Wisconsin,1,Fraud,455,2022,600,600,455,455,600,600,455
Arkansas,2,Other,500,2021,700,618.38,653.5,500,700,618.38,653.5
District of Columbia,4,Other,500,2019,492,476.66,509.67,500,492,476.66,509.67
Kentucky,4,Other,321.5,2020,500,487.89,400,321.5,500,487.89,400
Illinois,1,Fraud,450,2021,402.995,500,319.99,450,402.995,500,319.99
Florida,3,Fraud,535,2021,500,500,540,535,500,500,540
Massachusetts,1,Other,300,2021,535,618.38,500,300,535,618.38,500
North Carolina,4,Other,300,2019,492,476.66,288,300,492,476.66,288
Nevada,3,Other,525,2020,490,487.89,592,525,490,487.89,592
Connecticut,2,Fraud,301.75,2018,396,370,350,301.75,396,370,350
Massachusetts,2,Other,300,2021,700,618.38,600,300,700,618.38,600
Kentucky,3,Fraud,352.81,2021,500,500,335,352.81,500,500,335
West Virginia,4,Fraud,300,2018,306.25,370,211.5,300,306.25,370,211.5
Florida,2,Fraud,395,2018,396,370,399.99,395,396,370,399.99
Nevada,4,Other,495.78,2018,400.08,460,450.08,495.78,400.08,460,450.08
Indiana,2,Fraud,349.99,2018,396,370,306.495,349.99,396,370,306.495
South Carolina,2,Other,600,2021,700,618.38,600,600,700,618.38,600
Texas,2,Fraud,500,2021,507,500,543.12,500,507,500,543.12
Arizona,1,Fraud,353.42,2020,330.64,304.99,375,353.42,330.64,304.99,375
Illinois,2,Fraud,300,2018,396,370,299.99,300,396,370,299.99
Washington,2,Other,531.29,2021,700,618.38,524,531.29,700,618.38,524
South Dakota,2,Fraud,240,2020,325,304.99,300,240,325,304.99,300
Mississippi,3,Fraud,326,2018,380,370,363,326,380,370,363
Connecticut,2,Fraud,459.73,2021,507,500,500,459.73,507,500,500
Massachusetts,3,Other,450,2018,460.27,460,412.7,450,460.27,460,412.7
New York,4,Fraud,500,2021,550,500,600,500,550,500,600
Florida,1,Other,458.145,2019,410.21,476.66,400,458.145,410.21,476.66,400
Texas,4,Other,500,2018,400.08,460,477.28,500,400.08,460,477.28
Mississippi,4,Other,472.9,2019,492,476.66,453,472.9,492,476.66,453
New Hampshire,3,Fraud,450,2021,500,500,400,450,500,500,400
Georgia,4,Fraud,334.49,2019,335.88,394.99,297.69,334.49,335.88,394.99,297.69
Utah,3,Fraud,375,2018,380,370,391.5,375,380,370,391.5
North Carolina,3,Other,350,2020,490,487.89,321,350,490,487.89,321
Minnesota,3,Fraud,380,2019,400,394.99,411.5,380,400,394.99,411.5
District of Columbia,3,Other,500,2019,500,476.66,500,500,500,476.66,500
Hawaii,2,Fraud,641.75,2021,507,500,534.03,641.75,507,500,534.03
New York,2,Other,400,2019,499,476.66,450,400,499,476.66,450
Virginia,4,Fraud,324.47,2020,328,304.99,339.99,324.47,328,304.99,339.99
New Jersey,1,Other,782.5,2022,727.875,727.875,782.5,782.5,727.875,727.875,782.5
New Jersey,3,Fraud,389.06,2019,400,394.99,400,389.06,400,394.99,400
Wyoming,3,Fraud,500,2021,500,500,400,500,500,500,400
Connecticut,1,Fraud,737.5,2022,600,600,737.5,737.5,600,600,737.5
Minnesota,3,Fraud,485.215,2021,500,500,500,485.215,500,500,500
New Mexico,4,Other,441.56,2019,492,476.66,450,441.56,492,476.66,450
Maryland,4,Fraud,525,2021,550,500,550,525,550,500,550
Texas,3,Other,500,2018,460.27,460,500,500,460.27,460,500
South Carolina,1,Other,374,2018,500,460,450,374,500,460,450
Arizona,4,Fraud,353.42,2020,328,304.99,322.5,353.42,328,304.99,322.5
Kentucky,2,Other,300,2019,499,476.66,309.42,300,499,476.66,309.42
Texas,3,Other,500,2019,500,476.66,500,500,500,476.66,500
Ohio,2,Other,400,2020,431,487.89,352.49,400,431,487.89,352.49
District of Columbia,1,Other,538.48,2022,727.875,727.875,538.48,538.48,727.875,727.875,538.48
West Virginia,1,Other,330.68,2018,500,460,239.22,330.68,500,460,239.22
Virginia,1,Other,445.9,2018,500,460,384.385,445.9,500,460,384.385
California,2,Fraud,400,2018,396,370,400,400,396,370,400
Delaware,4,Fraud,299.99,2018,306.25,370,194.63,299.99,306.25,370,194.63
Washington,3,Other,500,2020,490,487.89,490.25,500,490,487.89,490.25
Tennessee,1,Fraud,500,2022,600,600,500,500,600,600,500
North Carolina,4,Fraud,311.5,2018,306.25,370,281.86,311.5,306.25,370,281.86
Maine,2,Fraud,400,2021,507,500,500,400,507,500,500
Delaware,1,Other,472.2,2019,410.21,476.66,467.02,472.2,410.21,476.66,467.02
Michigan,2,Other,450,2021,700,618.38,458.92,450,700,618.38,458.92
Massachusetts,1,Fraud,335.75,2018,404.565,370,401,335.75,404.565,370,401
Oklahoma,4,Fraud,259.49,2020,328,304.99,307,259.49,328,304.99,307
California,1,Fraud,610,2021,402.995,500,500,610,402.995,500,500
Georgia,3,Other,458,2018,460.27,460,434.75,458,460.27,460,434.75
Montana,1,Other,428.495,2022,727.875,727.875,428.495,428.495,727.875,727.875,428.495
New Mexico,2,Other,535.98,2018,499,460,550,535.98,499,460,550
Wisconsin,2,Fraud,300,2019,422.08,394.99,352.135,300,422.08,394.99,352.135
Michigan,1,Other,450,2021,535,618.38,400,450,535,618.38,400
Alaska,4,Fraud,490,2019,335.88,394.99,300,490,335.88,394.99,300
Colorado,4,Fraud,350,2018,306.25,370,263.99,350,306.25,370,263.99
Arkansas,2,Other,386.215,2020,431,487.89,374.3,386.215,431,487.89,374.3
California,1,Other,700,2022,727.875,727.875,700,700,727.875,727.875,700
Maine,1,Other,476,2021,535,618.38,307.255,476,535,618.38,307.255
Michigan,2,Fraud,299,2018,396,370,300,299,396,370,300
Illinois,3,Fraud,450,2021,500,500,500,450,500,500,500
Iowa,3,Fraud,379.16,2021,500,500,344.29,379.16,500,500,344.29
Hawaii,2,Fraud,356.02,2020,325,304.99,356.02,356.02,325,304.99,356.02
Minnesota,1,Fraud,300,2020,330.64,304.99,295.36,300,330.64,304.99,295.36
Mississippi,2,Fraud,326,2018,396,370,330.495,326,396,370,330.495
Arkansas,1,Other,386.215,2020,495,487.89,300,386.215,495,487.89,300
New Hampshire,3,Other,602.5,2021,727,618.38,650,602.5,727,618.38,650
Louisiana,3,Fraud,424.375,2021,500,500,400,424.375,500,500,400
South Dakota,4,Other,293.94,2018,400.08,460,202,293.94,400.08,460,202
North Dakota,3,Fraud,483.995,2018,380,370,444,483.995,380,370,444
Oklahoma,1,Fraud,500,2022,600,600,500,500,600,600,500
Michigan,2,Other,349,2019,499,476.66,349.58,349,499,476.66,349.58
Idaho,4,Fraud,399.99,2021,550,500,500,399.99,550,500,500
West Virginia,3,Other,500,2021,727,618.38,850,500,727,618.38,850
Maryland,4,Other,500,2018,400.08,460,472.725,500,400.08,460,472.725
Hawaii,2,Fraud,500,2019,422.08,394.99,500,500,422.08,394.99,500
Virginia,2,Fraud,350,2018,396,370,392.5,350,396,370,392.5
Illinois,1,Other,440,2019,410.21,476.66,400,440,410.21,476.66,400
Indiana,3,Other,423.72,2020,490,487.89,404,423.72,490,487.89,404
Mississippi,4,Other,700,2021,700,618.38,775,700,700,618.38,775
Iowa,3,Fraud,309.99,2019,400,394.99,398,309.99,400,394.99,398
New Jersey,1,Fraud,354.18,2018,404.565,370,400,354.18,404.565,370,400
Tennessee,1,Fraud,269.505,2020,330.64,304.99,300,269.505,330.64,304.99,300
California,1,Other,494.16,2019,410.21,476.66,400,494.16,410.21,476.66,400
Vermont,2,Other,400,2020,431,487.89,480.08,400,431,487.89,480.08
